Instance,Algorithm,Config,ObjVal,ObjBound,MIPGap,RuntimeGurobi,Status,RuntimeTotal
r_25_70_30_1,base,No VI,808.582393435169,542.0170207093524,0.32967001865245216,600.1429998874664,9,601.2218050956726
r_25_70_30_1,base,VI1,832.0802655702907,554.3937372132696,0.33372565105446955,600.1790001392365,9,602.344598531723
r_25_70_30_1,base,VI2,828.8183696748603,562.0674844313296,0.32184480340146804,600.2030000686646,9,602.2344863414764
r_25_70_30_1,base,VI3,793.2207555259254,541.6897569889612,0.3171008786453057,600.2019999027252,9,601.5925042629242
r_25_70_30_1,base,VI4,804.2860651815837,537.6932796955059,0.3314651304146232,600.7359998226166,9,602.2842900753021
r_25_70_30_1,base,VI1+VI4,801.4103816425408,554.1145617736503,0.30857576284704746,600.1689999103546,9,601.4205486774445
r_25_70_30_1,base,VI2+VI4,792.0576433490423,555.4911578680511,0.29867331938206115,600.1210000514984,9,601.5402684211731
r_25_70_30_1,base,VI3+VI4,837.2471224264605,542.1459092543954,0.35246608231607895,600.3340001106262,9,601.3473560810089
r_25_70_30_1,base,All VI,813.4035606902578,562.6807791078232,0.30823910012106426,600.180999994278,9,601.0908498764038
r_25_70_30_1,lns,base,833.0859541466325,776.0778470209086,0.0684300423527364,15.053999900817871,9,180.32666015625
r_25_70_30_1,ils,base,889.6460747110561,889.6460747110561,0.0,0.031999826431274414,2,139.40111207962036
