Instance,Heuristic,HeuristicObjVal,RefConfig,RefModelObjVal,RefLB,GapToModelRefConfig,GapToLBRefConfig
r_15_30_30_30_1.txt,lns,323.2123723720072,VI2+VI4,323.21237237200717,323.21237237200717,1.758701823313343e-16,1.758701823313343e-16
r_15_30_30_30_1.txt,ils,324.2410541052608,VI2+VI4,323.21237237200717,323.21237237200717,0.00318268055676297,0.00318268055676297
r_15_30_30_30_10.txt,lns,267.6485023786281,VI2+VI4,267.6485023786281,265.3787538773207,0.0,0.008552864417912857
r_15_30_30_30_10.txt,ils,267.6485023786281,VI2+VI4,267.6485023786281,265.3787538773207,0.0,0.008552864417912857
r_15_30_30_30_2.txt,lns,307.0630782040612,VI2+VI4,307.0630782040612,307.0630782040612,0.0,0.0
r_15_30_30_30_2.txt,ils,307.0630782040612,VI2+VI4,307.0630782040612,307.0630782040612,0.0,0.0
r_15_30_30_30_3.txt,lns,300.29175352947766,VI2+VI4,300.29175352947766,297.52665214797327,0.0,0.009293625836683651
r_15_30_30_30_3.txt,ils,300.29175352947766,VI2+VI4,300.29175352947766,297.52665214797327,0.0,0.009293625836683651
r_15_30_30_30_4.txt,lns,289.87912192614965,VI2+VI4,289.87912192614965,287.45762496136825,0.0,0.00842383974022893
r_15_30_30_30_4.txt,ils,289.87912192614965,VI2+VI4,289.87912192614965,287.45762496136825,0.0,0.00842383974022893
r_15_30_30_30_5.txt,lns,347.78851166394605,VI2+VI4,347.7885116639461,347.7885116639461,-1.6344248574758415e-16,-1.6344248574758415e-16
r_15_30_30_30_5.txt,ils,347.78851166394605,VI2+VI4,347.7885116639461,347.7885116639461,-1.6344248574758415e-16,-1.6344248574758415e-16
r_15_30_30_30_6.txt,lns,315.9647784226684,VI2+VI4,315.9647784226684,313.8448759525094,0.0,0.006754618706853673
r_15_30_30_30_6.txt,ils,315.96477842266836,VI2+VI4,315.9647784226684,313.8448759525094,-1.799042891570913e-16,0.006754618706853492
r_15_30_30_30_7.txt,lns,303.3062311398146,VI2+VI4,303.3062311398146,303.3062311398146,0.0,0.0
r_15_30_30_30_7.txt,ils,303.3062311398146,VI2+VI4,303.3062311398146,303.3062311398146,0.0,0.0
r_15_30_30_30_8.txt,lns,300.2820279666346,VI2+VI4,300.2820279666346,300.2820279666346,0.0,0.0
r_15_30_30_30_8.txt,ils,300.2820279666346,VI2+VI4,300.2820279666346,300.2820279666346,0.0,0.0
r_15_30_30_30_9.txt,lns,329.16933343132894,VI2+VI4,314.5183463229421,314.08114512432996,0.04658229727986511,0.04803914065273249
r_15_30_30_30_9.txt,ils,314.5183463229421,VI2+VI4,314.5183463229421,314.08114512432996,0.0,0.0013920007787766048
r_15_30_30_70_1.txt,lns,323.21237237200717,VI2+VI4,323.21237237200717,321.6816066397244,0.0,0.004758636181512174
r_15_30_30_70_1.txt,ils,323.21237237200717,VI2+VI4,323.21237237200717,321.6816066397244,0.0,0.004758636181512174
r_15_30_30_70_10.txt,lns,267.6485023786281,VI2+VI4,267.6485023786281,265.2886554670872,0.0,0.008895393236420059
r_15_30_30_70_10.txt,ils,267.6485023786281,VI2+VI4,267.6485023786281,265.2886554670872,0.0,0.008895393236420059
r_15_30_30_70_2.txt,lns,307.0630782040612,VI2+VI4,307.0630782040612,307.0630782040612,0.0,0.0
r_15_30_30_70_2.txt,ils,307.0630782040612,VI2+VI4,307.0630782040612,307.0630782040612,0.0,0.0
r_15_30_30_70_3.txt,lns,300.29175352947766,VI2+VI4,300.29175352947766,300.29175352947766,0.0,0.0
r_15_30_30_70_3.txt,ils,300.29175352947766,VI2+VI4,300.29175352947766,300.29175352947766,0.0,0.0
r_15_30_30_70_4.txt,lns,289.87912192614965,VI2+VI4,289.87912192614965,288.38877138179464,0.0,0.005167852192074261
r_15_30_30_70_4.txt,ils,289.87912192614965,VI2+VI4,289.87912192614965,288.38877138179464,0.0,0.005167852192074261
r_15_30_30_70_5.txt,lns,347.78851166394605,VI2+VI4,347.7885116639461,344.82406807500297,-1.6344248574758415e-16,0.008596974119272571
r_15_30_30_70_5.txt,ils,347.7885116639461,VI2+VI4,347.7885116639461,344.82406807500297,0.0,0.008596974119272736
r_15_30_30_70_6.txt,lns,315.9647784226684,VI2+VI4,315.9647784226685,315.9647784226685,-1.7990428915709124e-16,-1.7990428915709124e-16
r_15_30_30_70_6.txt,ils,315.9647784226684,VI2+VI4,315.9647784226685,315.9647784226685,-1.7990428915709124e-16,-1.7990428915709124e-16
r_15_30_30_70_7.txt,lns,303.3062311398146,VI2+VI4,303.3062311398146,300.4238256986199,0.0,0.009594463536611347
r_15_30_30_70_7.txt,ils,303.3062311398146,VI2+VI4,303.3062311398146,300.4238256986199,0.0,0.009594463536611347
r_15_30_30_70_8.txt,lns,300.2820279666346,VI2+VI4,300.2820279666346,300.2820279666346,0.0,0.0
r_15_30_30_70_8.txt,ils,300.2820279666346,VI2+VI4,300.2820279666346,300.2820279666346,0.0,0.0
r_15_30_30_70_9.txt,lns,314.5183463229421,VI2+VI4,314.5183463229421,311.91725005336536,0.0,0.008339058737955974
r_15_30_30_70_9.txt,ils,314.5183463229421,VI2+VI4,314.5183463229421,311.91725005336536,0.0,0.008339058737955974
r_15_70_30_30_1.txt,lns,450.2865263505674,VI2+VI4,450.2865263505674,449.299022994507,0.0,0.0021978755918025472
r_15_70_30_30_1.txt,ils,450.2865263505674,VI2+VI4,450.2865263505674,449.299022994507,0.0,0.0021978755918025472
