Instance,Algorithm,Config,ObjVal,ObjBound,MIPGap,RuntimeGurobi,Status,RuntimeTotal
r_25_70_30_70_4,base,No VI,650.5450413992855,512.1039720433635,0.21280781582493224,600.2550001144409,9,601.449384689331
r_25_70_30_70_4,base,VI1,683.659042382888,529.4021979221235,0.22563417566028746,600.0709998607635,9,601.0776855945587
r_25_70_30_70_4,base,VI2,650.5450413992855,512.0749496343881,0.2128524282762284,600.4579999446869,9,601.225213766098
r_25_70_30_70_4,base,VI3,672.8950854471256,506.03191854268937,0.24797798425524076,600.3580000400543,9,600.9271309375763
r_25_70_30_70_4,base,VI4,672.8379177302228,503.6188269426263,0.2515005268407682,600.5859999656677,9,601.4749300479889
r_25_70_30_70_4,base,VI1+VI4,698.3487920491342,514.7820213837547,0.26285829195286153,600.5239999294281,9,601.8566479682922
r_25_70_30_70_4,base,VI2+VI4,672.8379177302228,503.79471276912415,0.2512391179310397,600.5039999485016,9,601.3386647701263
r_25_70_30_70_4,base,VI3+VI4,660.9178299352279,504.35492642718265,0.2368870930950508,600.1349999904633,9,600.9153900146484
r_25_70_30_70_4,base,All VI,668.3491221687575,532.4982107478413,0.20326339470617868,600.3710000514984,9,601.0908215045929
r_25_70_30_70_4,lns,base,672.4350737521667,638.4758803497837,0.05050181754037867,15.134000062942505,9,106.42405891418457
r_25_70_30_70_4,ils,base,685.2292425392825,685.2292425392825,0.0,1.5149998664855957,2,135.9829134941101
