Instance,Algorithm,Config,ObjVal,ObjBound,MIPGap,RuntimeGurobi,Status,RuntimeTotal
r_50_70_30_70_5,base,No VI,796.2068404667313,522.7488195927032,0.3434509815486247,600.2189998626709,9,601.5965502262115
r_50_70_30_70_5,base,VI1,1001.7274532789397,538.9516093133982,0.46197779890203083,600.3220000267029,9,604.0145242214203
r_50_70_30_70_5,base,VI2,873.7092027094116,531.3383843635173,0.3918590044424242,600.1930000782013,9,602.2917153835297
r_50_70_30_70_5,base,VI3,865.8604031826552,525.1991489445471,0.3934366937048221,600.2000000476837,9,602.575037240982
r_50_70_30_70_5,base,VI4,769.1289184784855,523.3728992303053,0.31952513206023037,600.2720000743866,9,603.101044178009
r_50_70_30_70_5,base,VI1+VI4,992.7946021786537,530.0169337088549,0.4661363664289159,600.4179999828339,9,602.3932061195374
r_50_70_30_70_5,base,VI2+VI4,753.7896402781374,524.8700525455215,0.303691607711865,600.3700001239777,9,602.8168790340424
r_50_70_30_70_5,base,VI3+VI4,893.5909026480784,521.42611209472,0.416482295702072,600.287999868393,9,602.2487895488739
r_50_70_30_70_5,base,All VI,998.9087286312595,536.5824318248342,0.4628313714306224,600.5999999046326,9,603.0971884727478
r_50_70_30_70_5,lns,base,941.1402610116322,753.794780697479,0.19906223129034498,15.220999956130981,9,252.20152068138123
r_50_70_30_70_5,ils,base,1012.2660853783209,1012.2660853783209,0.0,6.411999940872192,2,269.27961921691895
