Instance,Algorithm,Config,ObjVal,ObjBound,MIPGap,RuntimeGurobi,Status,RuntimeTotal
r_50_70_30_70_4,base,No VI,891.048833668284,519.6076431820558,0.4168583992833179,600.287999868393,9,602.1212821006775
r_50_70_30_70_4,base,VI1,1040.3386725319217,527.1657664623342,0.49327485329431636,600.4350001811981,9,604.1442844867706
r_50_70_30_70_4,base,VI2,899.2260035748425,515.4327270356414,0.42680402369753984,601.9689998626709,9,607.0415005683899
r_50_70_30_70_4,base,VI3,826.8558855384265,530.0088781967258,0.35900694732117894,600.1290001869202,9,604.930951833725
r_50_70_30_70_4,base,VI4,840.3274670708931,538.4646794224767,0.3592204223677365,600.2070000171661,9,602.7470946311951
r_50_70_30_70_4,base,VI1+VI4,1017.1784916448574,539.3107738960732,0.4697973086080838,1413.2939999103546,9,1416.2857074737549
r_50_70_30_70_4,base,VI2+VI4,846.4825538695225,536.8929114172714,0.36573658965211403,600.289999961853,9,602.5962290763855
r_50_70_30_70_4,base,VI3+VI4,933.726741376979,514.4832106443774,0.4490002397428799,741.856999874115,9,744.8023138046265
r_50_70_30_70_4,base,All VI,1048.9354172210776,545.5164793803116,0.47993320615912005,600.2519998550415,9,602.4175658226013
r_50_70_30_70_4,lns,base,1165.9178009046682,1116.4141688555123,0.04245893836661949,15.052000045776367,9,281.29285407066345
r_50_70_30_70_4,ils,base,1165.8758686713265,1161.2482745717316,0.003969199658338168,2.3510000705718994,2,606.5568027496338
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
5
