Instance,Algorithm,Config,ObjVal,ObjBound,MIPGap,RuntimeGurobi,Status,RuntimeTotal
r_50_70_30_70_9,base,No VI,827.1018808820855,541.9632342033971,0.3447442851593984,600.25,9,603.8349795341492
r_50_70_30_70_9,base,VI1,901.335883363417,559.1557120935673,0.3796366899240416,600.2000000476837,9,603.3251667022705
r_50_70_30_70_9,base,VI2,795.0195716579188,548.15627409495,0.31051222682249785,600.2760000228882,9,602.6780505180359
r_50_70_30_70_9,base,VI3,910.1642832070116,548.134458702447,0.3977631634026921,600.2330000400543,9,603.2010035514832
r_50_70_30_70_9,base,VI4,879.8997737916918,556.1574178952567,0.36793094570459356,600.654000043869,9,602.8663029670715
r_50_70_30_70_9,base,VI1+VI4,911.0742210338371,560.2522237206683,0.3850641245397935,600.3919999599457,9,602.376699924469
r_50_70_30_70_9,base,VI2+VI4,807.480045131084,544.8789372362245,0.3252106469729907,600.2820000648499,9,603.0436840057373
r_50_70_30_70_9,base,VI3+VI4,910.0986416733472,547.560732474738,0.39835012667641295,600.2669999599457,9,603.0371308326721
r_50_70_30_70_9,base,All VI,942.3673018618692,557.8894965539846,0.4079914535959152,600.2799999713898,9,603.4416768550873
r_50_70_30_70_9,lns,base,939.953980421669,902.467602257617,0.03988107816431116,15.065000057220459,9,378.0226674079895
r_50_70_30_70_9,ils,base,921.9082139931443,918.1597493458082,0.004065984650575991,3.315999984741211,2,235.44642400741577
