Instance,Algorithm,Config,ObjVal,ObjBound,MIPGap,RuntimeGurobi,Status,RuntimeTotal
r_25_70_30_70_3,base,No VI,718.410455191117,604.4571007792719,0.15861873054385098,600.0840001106262,9,601.0652322769165
r_25_70_30_70_3,base,VI1,706.7675844244943,603.946844598066,0.14548027115611564,600.6019999980927,9,601.3691956996918
r_25_70_30_70_3,base,VI2,718.410455191117,603.6484075091464,0.15974440078470278,600.1770000457764,9,601.1350994110107
r_25_70_30_70_3,base,VI3,732.5086359954687,605.6830706175114,0.17313866232526148,600.1779999732971,9,601.0195469856262
r_25_70_30_70_3,base,VI4,695.6068710077868,606.7166940225221,0.12778795134165608,600.3650000095367,9,601.5270659923553
r_25_70_30_70_3,base,VI1+VI4,743.6886698644191,597.6183893285165,0.19641321221490773,600.1689999103546,9,601.7975630760193
r_25_70_30_70_3,base,VI2+VI4,695.6068710077868,606.8689336684229,0.1275690925979519,600.2000000476837,9,601.7385761737823
r_25_70_30_70_3,base,VI3+VI4,766.575424343275,589.6468268962569,0.2308038998231554,600.143000125885,9,601.2003171443939
r_25_70_30_70_3,base,All VI,769.4949797473979,603.2285499328887,0.21607214366634273,600.2440001964569,9,601.0675971508026
r_25_70_30_70_3,lns,base,767.5603124084452,705.9513615492236,0.08026594114266461,15.044000148773193,9,217.41227078437805
r_25_70_30_70_3,ils,base,835.1091041619081,538.4770892142606,0.3552015101611652,15.07200002670288,9,125.26245784759521
