Instance,Algorithm,Config,ObjVal,ObjBound,MIPGap,RuntimeGurobi,Status,RuntimeTotal
r_15_30_30_30_1.txt,base,No VI,323.2123723720072,321.39250042099445,0.005630576384366118,16.9511399269104,2,16.974709033966064
r_15_30_30_30_1.txt,base,VI1,323.2123723720072,322.4949281012557,0.0022197302209884416,8.06340217590332,2,8.08462905883789
r_15_30_30_30_1.txt,base,VI2,323.2123723720072,321.39250042099445,0.005630576384366118,18.535712957382202,2,18.558233976364136
r_15_30_30_30_1.txt,base,VI3,323.21237237200717,322.5885633287107,0.0019300283547886749,6.547078847885132,2,6.569590091705322
r_15_30_30_30_1.txt,base,VI4,323.21237237200717,323.21237237200717,0.0,6.189017057418823,2,6.210932970046997
r_15_30_30_30_1.txt,base,VI1+VI4,323.21237237200717,323.21237237200717,0.0,4.3663859367370605,2,4.3904149532318115
r_15_30_30_30_1.txt,base,VI2+VI4,323.21237237200717,323.21237237200717,0.0,5.9143078327178955,2,5.936057090759277
r_15_30_30_30_1.txt,base,VI3+VI4,323.2123723720072,320.41852340058114,0.008644003788971465,4.997790098190308,2,5.020488977432251
r_15_30_30_30_1.txt,base,All VI,323.2123723720072,320.2672603072576,0.009112002870236415,6.902533054351807,2,6.927227973937988
r_15_30_30_30_1.txt,lns,base,323.2123723720072,316.2517957374622,0.02153561320521981,15.007740020751953,9,46.92714500427246
r_15_30_30_30_1.txt,ils,base,324.2410541052608,307.67422728751006,0.05109416777424031,15.003509044647217,9,20.51887798309326
r_15_30_30_30_10.txt,base,No VI,267.6485023786281,265.40804683514085,0.00837088765143847,46.888514041900635,2,46.916674852371216
r_15_30_30_30_10.txt,base,VI1,267.6485023786281,265.01810757075793,0.00982779572646028,54.51355004310608,2,54.54235816001892
r_15_30_30_30_10.txt,base,VI2,267.6485023786281,265.40804683514085,0.00837088765143847,51.76645302772522,2,51.795665979385376
r_15_30_30_30_10.txt,base,VI3,267.6485023786281,265.01858976835996,0.009825994118763094,45.81123614311218,2,45.84276008605957
r_15_30_30_30_10.txt,base,VI4,267.6485023786281,265.3787538773207,0.00848033327717447,39.17754006385803,2,39.20684099197388
r_15_30_30_30_10.txt,base,VI1+VI4,267.6485023786281,265.23117554481377,0.00903172187526265,38.0587260723114,2,38.088374853134155
r_15_30_30_30_10.txt,base,VI2+VI4,267.6485023786281,265.3787538773207,0.00848033327717447,40.086437940597534,2,40.11561822891235
r_15_30_30_30_10.txt,base,VI3+VI4,276.0359423042763,273.3750156467238,0.009639783266410157,94.21500992774963,2,94.25324702262878
r_15_30_30_30_10.txt,base,All VI,276.0359423042763,273.49256386067424,0.009213939396335918,111.8073980808258,2,111.8458092212677
r_15_30_30_30_10.txt,lns,base,267.6485023786281,244.05370891854565,0.08815589570048914,15.006716966629028,9,44.63778614997864
r_15_30_30_30_10.txt,ils,base,267.6485023786281,244.05370891854565,0.08815589570048914,15.010059118270874,9,36.80163311958313
r_15_30_30_30_2.txt,base,No VI,307.0630782040612,304.07644549868775,0.00972644683574965,20.97827911376953,2,21.006059169769287
r_15_30_30_30_2.txt,base,VI1,307.0630782040612,304.7837470284134,0.00742300633791283,12.245244026184082,2,12.273219108581543
r_15_30_30_30_2.txt,base,VI2,307.0630782040612,304.07644549868775,0.00972644683574965,21.192909955978394,2,21.219916105270386
r_15_30_30_30_2.txt,base,VI3,307.0630782040612,305.74608868438145,0.004288986899312334,10.078979015350342,2,10.104942083358765
r_15_30_30_30_2.txt,base,VI4,307.0630782040612,307.0630782040612,0.0,4.870513916015625,2,4.895630836486816
r_15_30_30_30_2.txt,base,VI1+VI4,307.0630782040612,307.0630782040612,0.0,6.732659101486206,2,6.757905960083008
r_15_30_30_30_2.txt,base,VI2+VI4,307.0630782040612,307.0630782040612,0.0,4.798986911773682,2,4.8223206996917725
r_15_30_30_30_2.txt,base,VI3+VI4,309.92475877268487,307.0453387704281,0.009290706601368036,8.12921690940857,2,8.155616044998169
r_15_30_30_30_2.txt,base,All VI,309.9247587726849,308.99246333836663,0.0030081347421555492,15.026623010635376,2,15.054354906082153
r_15_30_30_30_2.txt,lns,base,307.0630782040612,296.96938184884857,0.03287173571713096,15.011137962341309,9,16.293092012405396
r_15_30_30_30_2.txt,ils,base,307.0630782040612,297.19596632754474,0.03213382714140311,15.006237983703613,9,17.76882314682007
r_15_30_30_30_3.txt,base,No VI,300.29175352947766,300.29175352947766,0.0,1.4165048599243164,2,1.4372808933258057
r_15_30_30_30_3.txt,base,VI1,300.29175352947766,300.29175352947766,0.0,1.4893290996551514,2,1.5132818222045898
r_15_30_30_30_3.txt,base,VI2,300.29175352947766,300.29175352947766,0.0,1.5475668907165527,2,1.5713679790496826
r_15_30_30_30_3.txt,base,VI3,300.29175352947766,298.15521827193794,0.007114864901976038,1.5754389762878418,2,1.600423812866211
r_15_30_30_30_3.txt,base,VI4,300.29175352947766,297.52665214797327,0.009208049668380128,1.4601387977600098,2,1.48582124710083
r_15_30_30_30_3.txt,base,VI1+VI4,300.29175352947766,298.0270962142024,0.007541523497257648,1.6440749168395996,2,1.668868064880371
r_15_30_30_30_3.txt,base,VI2+VI4,300.29175352947766,297.52665214797327,0.009208049668380128,1.462101936340332,2,1.4862279891967773
r_15_30_30_30_3.txt,base,VI3+VI4,311.34117039024795,311.34117039024795,0.0,4.303040027618408,2,4.326712131500244
r_15_30_30_30_3.txt,base,All VI,311.34117039024795,311.34117039024795,0.0,3.8274331092834473,2,3.8530890941619873
